fecha;frecuencia;imagenes_locales;politicos_locales
Julio 2018;0,6949;Imagen positiva;Leo Nardini
Octubre 2018;0,669897025;Imagen positiva;Leo Nardini
Diciembre 2018;0,632421863;Imagen positiva;Leo Nardini
Marzo 2019;0,643899252;Imagen positiva;Leo Nardini
Julio 2019;0,717720354;Imagen positiva;Leo Nardini
Marzo 2020;0,746425072;Imagen positiva;Leo Nardini
Marzo 2021;0,706157882;Imagen positiva;Leo Nardini
Junio 2021;0,765;Imagen positiva;Leo Nardini
Septiembre 2021;0,773;Imagen positiva;Leo Nardini
Julio 2018;0,2525;Imagen negativa;Leo Nardini
Octubre 2018;0,298357587;Imagen negativa;Leo Nardini
Diciembre 2018;0,327103094;Imagen negativa;Leo Nardini
Marzo 2019;0,307436328;Imagen negativa;Leo Nardini
Julio 2019;0,264449196;Imagen negativa;Leo Nardini
Marzo 2020;0,211328752;Imagen negativa;Leo Nardini
Marzo 2021;0,251871792;Imagen negativa;Leo Nardini
Junio 2021;0,226;Imagen negativa;Leo Nardini
Septiembre 2021;0,208;Imagen negativa;Leo Nardini
Diciembre 2021;0,252;Imagen negativa;Leo Nardini
Diciembre 2021;0,028;NS/NC;Leo Nardini
Diciembre 2021;0,72;Imagen positiva;Leo Nardini
Julio 2018;0,0525;NS/NC;Leo Nardini
Octubre 2018;0,016256195;NS/NC;Leo Nardini
Diciembre 2018;0,040475043;NS/NC;Leo Nardini
Marzo 2019;0,032242375;NS/NC;Leo Nardini
Julio 2019;0,004460305;NS/NC;Leo Nardini
Marzo 2020;0,042246177;NS/NC;Leo Nardini
Marzo 2021;0,035662325;NS/NC;Leo Nardini
Junio 2021;0,09;NS/NC;Leo Nardini
Septiembre 2021;0,019;NS/NC;Leo Nardini
Julio 2018;0,3339;Imagen positiva;Jesús Cariglino
Octubre 2018;0,263983726;Imagen positiva;Jesús Cariglino
Diciembre 2018;0,286967801;Imagen positiva;Jesús Cariglino
Marzo 2019;0,382861682;Imagen positiva;Jesús Cariglino
Julio 2019;0,287919008;Imagen positiva;Jesús Cariglino
Marzo 2020;0,151558456;Imagen positiva;Jesús Cariglino
Marzo 2021;0,297745665;Imagen positiva;Jesús Cariglino
Junio 2021;0,244;Imagen positiva;Jesús Cariglino
Septiembre 2021;0,188;Imagen positiva;Jesús Cariglino
Julio 2018;0,4932;Imagen negativa;Jesús Cariglino
Octubre 2018;0,543039432;Imagen negativa;Jesús Cariglino
Diciembre 2018;0,535910611;Imagen negativa;Jesús Cariglino
Marzo 2019;0,418721262;Imagen negativa;Jesús Cariglino
Julio 2019;0,519752443;Imagen negativa;Jesús Cariglino
Marzo 2020;0,617382776;Imagen negativa;Jesús Cariglino
Marzo 2021;0,483450195;Imagen negativa;Jesús Cariglino
Junio 2021;0,57;Imagen negativa;Jesús Cariglino
Septiembre 2021;0,654;Imagen negativa;Jesús Cariglino
Julio 2018;0,1305;NS/NC;Jesús Cariglino
Octubre 2018;0,100462215;NS/NC;Jesús Cariglino
Diciembre 2018;0,122693614;NS/NC;Jesús Cariglino
Marzo 2019;0,143976263;NS/NC;Jesús Cariglino
Julio 2019;0,183140788;NS/NC;Jesús Cariglino
Marzo 2020;0,176910634;NS/NC;Jesús Cariglino
Marzo 2021;0,185499078;NS/NC;Jesús Cariglino
Junio 2021;0,177;NS/NC;Jesús Cariglino
Septiembre 2021;0,157;NS/NC;Jesús Cariglino
Diciembre 2021;0,187;Imagen positiva;Jesús Cariglino
Diciembre 2021;0,696;Imagen negativa;Jesús Cariglino
Diciembre 2021;0,041;NS/NC;Jesús Cariglino
Julio 2018;0,3169;Imagen positiva;Solange Jiménez
Octubre 2018;0,165339771;Imagen positiva;Solange Jiménez
Diciembre 2018;0,217404383;Imagen positiva;Solange Jiménez
Marzo 2019;0,311917885;Imagen positiva;Solange Jiménez
Julio 2019;0,419024478;Imagen positiva;Solange Jiménez
Marzo 2020;0,276229198;Imagen positiva;Solange Jiménez
Marzo 2021;0,383263774;Imagen positiva;Solange Jiménez
Junio 2021;0,448;Imagen positiva;Solange Jiménez
Septiembre 2021;0,44;Imagen positiva;Solange Jiménez
Julio 2018;0,0949;Imagen negativa;Solange Jiménez
Octubre 2018;0,048682808;Imagen negativa;Solange Jiménez
Diciembre 2018;0,102809343;Imagen negativa;Solange Jiménez
Marzo 2019;0,196893884;Imagen negativa;Solange Jiménez
Julio 2019;0,222325388;Imagen negativa;Solange Jiménez
Marzo 2020;0,202908082;Imagen negativa;Solange Jiménez
Marzo 2021;0,196341575;Imagen negativa;Solange Jiménez
Junio 2021;0,188;Imagen negativa;Solange Jiménez
Septiembre 2021;0,174;Imagen negativa;Solange Jiménez
Julio 2018;0,3559;NS/NC;Solange Jiménez
Octubre 2018;0,254738433;NS/NC;Solange Jiménez
Diciembre 2018;0,353246775;NS/NC;Solange Jiménez
Marzo 2019;0,276163349;NS/NC;Solange Jiménez
Julio 2019;0,217668408;NS/NC;Solange Jiménez
Marzo 2020;0,372143772;NS/NC;Solange Jiménez
Marzo 2021;0,29955939;NS/NC;Solange Jiménez
Junio 2021;0,188;NS/NC;Solange Jiménez
Septiembre 2021;0,234;NS/NC;Solange Jiménez
Julio 2018;0,2322;No lo conoce;Solange Jiménez
Octubre 2018;0,531238989;No lo conoce;Solange Jiménez
Diciembre 2018;0,326539498;No lo conoce;Solange Jiménez
Marzo 2019;0,215024883;No lo conoce;Solange Jiménez
Julio 2019;0,140981726;No lo conoce;Solange Jiménez
Marzo 2020;0,148718948;No lo conoce;Solange Jiménez
Marzo 2021;0,12083526;No lo conoce;Solange Jiménez
Junio 2021;0,176;No lo conoce;Solange Jiménez
Septiembre 2021;0,152;No lo conoce;Solange Jiménez
Diciembre 2021;0,11;No lo conoce;Solange Jiménez
Diciembre 2021;0,208;Imagen negativa;Solange Jiménez
Diciembre 2021;0,408;Imagen positiva;Solange Jiménez
Diciembre 2021;0,275;NS/NC;Solange Jiménez
